r	V(n002)
1.000000000000000e+002	1.412118e-001
1.010000000000000e+002	1.891423e-001
1.020000000000000e+002	2.567872e-001
1.030000000000000e+002	3.282082e-001
1.040000000000000e+002	3.998839e-001
1.050000000000000e+002	4.715478e-001
1.060000000000000e+002	5.431830e-001
1.070000000000000e+002	6.147885e-001
1.080000000000000e+002	6.863642e-001
1.090000000000000e+002	7.579101e-001
1.100000000000000e+002	8.294263e-001
1.110000000000000e+002	9.009127e-001
1.120000000000000e+002	9.723694e-001
1.130000000000000e+002	1.043796e+000
1.140000000000000e+002	1.115194e+000
1.150000000000000e+002	1.186562e+000
1.160000000000000e+002	1.257900e+000
1.170000000000000e+002	1.329208e+000
1.180000000000000e+002	1.400487e+000
1.190000000000000e+002	1.471736e+000
1.200000000000000e+002	1.542956e+000
1.210000000000000e+002	1.614146e+000
1.220000000000000e+002	1.685307e+000
1.230000000000000e+002	1.756438e+000
1.240000000000000e+002	1.827539e+000
1.250000000000000e+002	1.898612e+000
1.260000000000000e+002	1.969654e+000
1.270000000000000e+002	2.040668e+000
1.280000000000000e+002	2.111651e+000
1.290000000000000e+002	2.182606e+000
1.300000000000000e+002	2.253531e+000
1.310000000000000e+002	2.324427e+000
1.320000000000000e+002	2.395293e+000
1.330000000000000e+002	2.466130e+000
1.340000000000000e+002	2.536938e+000
1.350000000000000e+002	2.607716e+000
1.360000000000000e+002	2.678465e+000
1.370000000000000e+002	2.749185e+000
1.380000000000000e+002	2.819876e+000
1.390000000000000e+002	2.890537e+000
1.400000000000000e+002	2.961169e+000
